Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
tuvan,"China, Mongolia, Russian Federation",vulnerable,242754,1.0,242754,True,
tuwuli,Ghana,vulnerable,11400,1.0,11400,True,
tuyuca,Brazil,vulnerable,800,1.0,800,True,
tuyuca,Colombia,definitely endangered,1000,2.0,1000,True,
tuzantec,Mexico,critically endangered,5,4.0,5,True,
twana,United States of America,extinct,0,5.0,0,True,
tzutujil,Guatemala,definitely endangered,63237,2.0,63237,True,
titschu,Italy,severely endangered,200,3.0,200,True,
u,China,definitely endangered,3000,2.0,3000,True,
ubi,Chad,severely endangered,1100,3.0,1100,True,
ubykh,Russian Federation,extinct,0,5.0,0,True,
ubykh,Turkey,extinct,0,5.0,0,True,
udege,Russian Federation,critically endangered,40,4.0,40,True,
udi,Azerbaijan,severely endangered,5000,3.0,5000,True,
udi,Georgia,severely endangered,1000,3.0,1000,True,
udmurt,Russian Federation,definitely endangered,463837,2.0,463837,True,
uhunduni,Indonesia,vulnerable,14000,1.0,14000,True,
