Name in English,Countries,Degree of endangerment,Number of speakers
Tobada',Indonesia,Extinct,12000.0
Yurt Tatar,Russian Federation,Definitely endangered,12000.0
Yaqui (Mexico),Mexico,Vulnerable,11806.0
Ch'orti' (Guatemala),Guatemala,Definitely endangered,11734.0
Filomeno Mata Totonac,Mexico,Vulnerable,11710.0
Northern Totonac,Mexico,Critically endangered,11529.0
Komo,"Ethiopia, Sudan",Definitely endangered,11500.0
Tuwuli,Ghana,Vulnerable,11400.0
Poqomam,Guatemala,Definitely endangered,11273.0
Idu,"China, India",Definitely endangered,11101.0
Kari'ña (Venezuela),Venezuela (Bolivarian Republic of),Severely endangered,11000.0
Machiguenga,Peru,Definitely endangered,11000.0
Piaroa (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,11000.0
Tuvaluan,Tuvalu,Definitely endangered,11000.0
Waunana (Colombia),Colombia,Vulnerable,11000.0
Noon,Senegal,Vulnerable,10925.0
Sampang,Nepal,Vulnerable,10810.0
Central Alaskan Yupik (2),United States of America,Vulnerable,10400.0
Central Alaskan Yupik (Nuniak Island),United States of America,Vulnerable,10400.0
Bukiyip,Papua New Guinea,Vulnerable,10304.0
Saparua,Indonesia,Definitely endangered,10216.0
Darai,Nepal,Severely endangered,10210.0
Bandial,Senegal,Vulnerable,10125.0
Bongo,Sudan,Definitely endangered,10084.0
Northwestern Tarahumara,Mexico,Vulnerable,10031.0
Algherese Catalan,Italy,Definitely endangered,10000.0
Aragonese,Spain,Definitely endangered,10000.0
Baima,China,Vulnerable,10000.0
Bukharic,Uzbekistan,Definitely endangered,10000.0
Bunun,China,Vulnerable,10000.0
Burunge,United Republic of Tanzania,Vulnerable,10000.0
Chayahuita,Peru,Definitely endangered,10000.0
Cherokee (Oklahoma),United States of America,Definitely endangered,10000.0
Dalecarlian,Sweden,Definitely endangered,10000.0
"Huitoto (Colombia, Peru)","Colombia, Peru",Definitely endangered,10000.0
